,#,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total
125,116,Water,,30,40,70,70,25,60,1,False,266
126,117,Water,,55,65,95,95,45,85,1,False,386
127,118,Water,,45,67,60,35,50,63,1,False,276
128,119,Water,,80,92,65,65,80,68,1,False,371
129,120,Water,,30,45,55,70,55,85,1,False,311
130,121,Water,Psychic,60,75,85,100,85,115,1,False,461
131,122,Psychic,Fairy,40,45,65,100,120,90,1,False,421
132,123,Bug,Flying,70,110,80,55,80,105,1,False,431
133,124,Ice,Psychic,65,50,35,115,95,95,1,False,391
134,125,Electric,,65,83,57,95,85,105,1,False,426
135,126,Fire,,65,95,57,100,85,93,1,False,431
136,127,Bug,,65,125,100,55,70,85,1,False,436
137,127,Bug,Flying,65,155,120,65,90,105,1,False,536
138,128,Normal,,75,100,95,40,70,110,1,False,416
139,129,Water,,20,10,55,15,20,80,1,False,181
140,130,Water,Flying,95,125,79,60,100,81,1,False,446
141,130,Water,Dark,95,155,109,70,130,81,1,False,546
142,131,Water,Ice,130,85,80,85,95,60,1,False,406
143,132,Normal,,48,48,48,48,48,48,1,False,241
144,133,Normal,,55,55,50,45,65,55,1,False,271
145,134,Water,,130,65,60,110,95,65,1,False,396
146,135,Electric,,65,65,60,110,95,130,1,False,461
147,136,Fire,,65,130,60,95,110,65,1,False,461
148,137,Normal,,65,60,70,85,75,40,1,False,331
149,138,Rock,Water,35,40,100,90,55,35,1,False,321
150,139,Rock,Water,70,60,125,115,70,55,1,False,426
151,140,Rock,Water,30,80,90,55,45,55,1,False,326
152,141,Rock,Water,60,115,105,65,70,80,1,False,436
153,142,Rock,Flying,80,105,65,60,75,130,1,False,436
154,142,Rock,Flying,80,135,85,70,95,150,1,False,536
155,143,Normal,,160,110,65,65,110,30,1,False,381
156,144,Ice,Flying,90,85,100,95,125,85,1,True,491
157,145,Electric,Flying,90,90,85,125,90,100,1,True,491
158,146,Fire,Flying,90,100,90,125,85,90,1,True,491
159,147,Dragon,,41,64,45,50,50,50,1,False,260
160,148,Dragon,,61,84,65,70,70,70,1,False,360
161,149,Dragon,Flying,91,134,95,100,100,80,1,False,510
162,150,Psychic,,106,110,90,154,90,130,1,True,575
163,150,Psychic,Fighting,106,190,100,154,100,130,1,True,675
164,150,Psychic,,106,150,70,194,120,140,1,True,675
165,151,Psychic,,100,100,100,100,100,100,1,False,501
166,152,Grass,,45,49,65,49,65,45,2,False,275
167,153,Grass,,60,62,80,63,80,60,2,False,347
168,154,Grass,,80,82,100,83,100,80,2,False,447
169,155,Fire,,39,52,43,60,50,65,2,False,272
170,156,Fire,,58,64,58,80,65,80,2,False,349
171,157,Fire,,78,84,78,109,85,100,2,False,458
172,158,Water,,50,65,64,44,48,43,2,False,266
173,159,Water,,65,80,80,59,63,58,2,False,342
174,160,Water,,85,105,100,79,83,78,2,False,447
175,161,Normal,,35,46,34,35,45,20,2,False,182
176,162,Normal,,85,76,64,45,55,90,2,False,332
177,163,Normal,Flying,60,30,30,36,56,50,2,False,204
178,164,Normal,Flying,100,50,50,76,96,70,2,False,344
179,165,Bug,Flying,40,20,30,40,80,55,2,False,227
180,166,Bug,Flying,55,35,50,55,110,85,2,False,337
181,167,Bug,Poison,40,60,40,40,40,30,2,False,212
182,168,Bug,Poison,70,90,70,60,60,40,2,False,322
183,169,Poison,Flying,85,90,80,70,80,130,2,False,452
184,170,Water,Electric,75,38,38,56,56,67,2,False,257
185,171,Water,Electric,125,58,58,76,76,67,2,False,337
186,172,Electric,,20,40,15,35,35,60,2,False,187
187,173,Fairy,,50,25,28,45,55,15,2,False,170
188,174,Normal,Fairy,90,30,15,40,20,15,2,False,122
189,175,Fairy,,35,20,65,40,65,20,2,False,212
190,176,Fairy,Flying,55,40,85,80,105,40,2,False,352
191,177,Psychic,Flying,40,50,45,70,45,70,2,False,282
192,178,Psychic,Flying,65,75,70,95,70,95,2,False,407
193,179,Electric,,55,40,40,65,45,35,2,False,227
194,180,Electric,,70,55,55,80,60,45,2,False,297
195,181,Electric,,90,75,85,115,90,55,2,False,422
196,181,Electric,Dragon,90,95,105,165,110,45,2,False,522
197,182,Grass,,75,80,95,90,100,50,2,False,417
198,183,Water,Fairy,70,20,50,20,50,40,2,False,182
199,184,Water,Fairy,100,50,80,60,80,50,2,False,322
200,185,Rock,,70,100,115,30,65,30,2,False,342
201,186,Water,,90,75,75,90,100,70,2,False,412
202,187,Grass,Flying,35,35,40,35,55,50,2,False,217
203,188,Grass,Flying,55,45,50,45,65,80,2,False,287
204,189,Grass,Flying,75,55,70,55,95,110,2,False,387
205,190,Normal,,55,70,55,40,55,85,2,False,307
206,191,Grass,,30,30,30,30,30,30,2,False,152
207,192,Grass,,75,75,55,105,85,30,2,False,352
208,193,Bug,Flying,65,65,45,75,45,95,2,False,327
209,194,Water,Ground,55,45,45,25,25,15,2,False,157
210,195,Water,Ground,95,85,85,65,65,35,2,False,337
211,196,Psychic,,65,65,60,130,95,110,2,False,462
212,197,Dark,,95,65,110,60,130,65,2,False,432
213,198,Dark,Flying,60,85,42,85,42,91,2,False,347
214,199,Water,Psychic,95,75,80,100,110,30,2,False,397
215,200,Ghost,,60,60,60,85,85,85,2,False,377
216,201,Psychic,,48,72,48,72,48,48,2,False,290
217,202,Psychic,,190,33,58,33,58,33,2,False,217
218,203,Normal,Psychic,70,80,65,90,65,85,2,False,387
219,204,Bug,,50,65,90,35,35,15,2,False,242
220,205,Bug,Steel,75,90,140,60,60,40,2,False,392
221,206,Normal,,100,70,70,65,65,45,2,False,317
222,207,Ground,Flying,65,75,105,35,65,85,2,False,367
223,208,Steel,Ground,75,85,200,55,65,30,2,False,437
224,208,Steel,Ground,75,125,230,55,95,30,2,False,537
225,209,Fairy,,60,80,50,40,40,30,2,False,242
226,210,Fairy,,90,120,75,60,60,45,2,False,362
227,211,Water,Poison,65,95,75,55,55,85,2,False,367
228,212,Bug,Steel,70,130,100,55,80,65,2,False,432
229,212,Bug,Steel,70,150,140,65,100,75,2,False,532
230,213,Bug,Rock,20,10,230,10,230,5,2,False,487
231,214,Bug,Fighting,80,125,75,40,95,85,2,False,422
232,214,Bug,Fighting,80,185,115,40,105,75,2,False,522
233,215,Dark,Ice,55,95,55,35,75,115,2,False,377
234,216,Normal,,60,80,50,50,50,40,2,False,272
235,217,Normal,,90,130,75,75,75,55,2,False,412
236,218,Fire,,40,40,40,70,40,20,2,False,212
237,219,Fire,Rock,50,50,120,80,80,30,2,False,362
238,220,Ice,Ground,50,50,40,30,30,50,2,False,202
239,221,Ice,Ground,100,100,80,60,60,50,2,False,352
240,222,Water,Rock,55,55,85,65,85,35,2,False,327
241,223,Water,,35,65,35,65,35,65,2,False,267
242,224,Water,,75,105,75,105,75,45,2,False,407
243,225,Ice,Flying,45,55,45,65,45,75,2,False,287
244,226,Water,Flying,65,40,70,80,140,70,2,False,402
245,227,Steel,Flying,65,80,140,40,70,70,2,False,402
246,228,Dark,Fire,45,60,30,80,50,65,2,False,287
247,229,Dark,Fire,75,90,50,110,80,95,2,False,427
248,229,Dark,Fire,75,90,90,140,90,115,2,False,527
249,230,Water,Dragon,75,95,95,95,95,85,2,False,467
250,231,Ground,,90,60,60,40,40,40,2,False,242
251,232,Ground,,90,120,120,60,60,50,2,False,412
252,233,Normal,,85,80,90,105,95,60,2,False,432
253,234,Normal,,73,95,62,85,65,85,2,False,394
254,235,Normal,,55,20,35,20,45,75,2,False,197
255,236,Fighting,,35,35,35,35,35,35,2,False,177
256,237,Fighting,,50,95,95,35,110,70,2,False,407
257,238,Ice,Psychic,45,30,15,85,65,65,2,False,262
258,239,Electric,,45,63,37,65,55,95,2,False,317
259,240,Fire,,45,75,37,70,55,83,2,False,322
260,241,Normal,,95,80,105,40,70,100,2,False,397
261,242,Normal,,255,10,10,75,135,55,2,False,287
262,243,Electric,,90,85,75,115,100,115,2,True,492
263,244,Fire,,115,115,85,90,75,100,2,True,467
264,245,Water,,100,75,115,90,115,85,2,True,482
265,246,Rock,Ground,50,64,50,45,50,41,2,False,252
266,247,Rock,Ground,70,84,70,65,70,51,2,False,342
267,248,Rock,Dark,100,134,110,95,100,61,2,False,502
268,248,Rock,Dark,100,164,150,95,120,71,2,False,602
269,249,Psychic,Flying,106,90,130,90,154,110,2,True,576
270,250,Fire,Flying,106,130,90,110,154,90,2,True,576
271,251,Psychic,Grass,100,100,100,100,100,100,2,False,502
272,252,Grass,,40,45,35,65,55,70,3,False,273
273,253,Grass,,50,65,45,85,65,95,3,False,358
274,254,Grass,,70,85,65,105,85,120,3,False,463
275,254,Grass,Dragon,70,110,75,145,85,145,3,False,563
276,255,Fire,,45,60,40,70,50,45,3,False,268
277,256,Fire,Fighting,60,85,60,85,60,55,3,False,348
278,257,Fire,Fighting,80,120,70,110,70,80,3,False,453
279,257,Fire,Fighting,80,160,80,130,80,100,3,False,553
280,258,Water,,50,70,50,50,50,40,3,False,263
281,259,Water,Ground,70,85,70,60,70,50,3,False,338
282,260,Water,Ground,100,110,90,85,90,60,3,False,438
283,260,Water,Ground,100,150,110,95,110,70,3,False,538
284,261,Dark,,35,55,35,30,30,35,3,False,188
285,262,Dark,,70,90,70,60,60,70,3,False,353
286,263,Normal,,38,30,41,30,41,60,3,False,205
287,264,Normal,,78,70,61,50,61,100,3,False,345
288,265,Bug,,45,45,35,20,30,20,3,False,153
289,266,Bug,,50,35,55,25,25,15,3,False,158
290,267,Bug,Flying,60,70,50,100,50,65,3,False,338
291,268,Bug,,50,35,55,25,25,15,3,False,158
292,269,Bug,Poison,60,50,70,50,90,65,3,False,328
293,270,Water,Grass,40,30,30,40,50,30,3,False,183
294,271,Water,Grass,60,50,50,60,70,50,3,False,283
295,272,Water,Grass,80,70,70,90,100,70,3,False,403
296,273,Grass,,40,40,50,30,30,30,3,False,183
297,274,Grass,Dark,70,70,40,60,40,60,3,False,273
298,275,Grass,Dark,90,100,60,90,60,80,3,False,393
299,276,Normal,Flying,40,55,30,30,30,85,3,False,233
300,277,Normal,Flying,60,85,60,50,50,125,3,False,373
301,278,Water,Flying,40,30,30,55,30,85,3,False,233
302,279,Water,Flying,60,50,100,85,70,65,3,False,373
303,280,Psychic,Fairy,28,25,25,45,35,40,3,False,173
304,281,Psychic,Fairy,38,35,35,65,55,50,3,False,243
305,282,Psychic,Fairy,68,65,65,125,115,80,3,False,453
306,282,Psychic,Fairy,68,85,65,165,135,100,3,False,553
307,283,Bug,Water,40,30,32,50,52,65,3,False,232
308,284,Bug,Flying,70,60,62,80,82,60,3,False,347
309,285,Grass,,60,40,60,40,60,35,3,False,238
310,286,Grass,Fighting,60,130,80,60,60,70,3,False,403
311,287,Normal,,60,60,60,35,35,30,3,False,223
312,288,Normal,,80,80,80,55,55,90,3,False,363
313,289,Normal,,150,160,100,95,65,100,3,False,523
314,290,Bug,Ground,31,45,90,30,30,40,3,False,238
315,291,Bug,Flying,61,90,45,50,50,160,3,False,398
316,292,Bug,Ghost,1,90,45,30,30,40,3,False,238
317,293,Normal,,64,51,23,51,23,28,3,False,179
318,294,Normal,,84,71,43,71,43,48,3,False,279
319,295,Normal,,104,91,63,91,73,68,3,False,389
320,296,Fighting,,72,60,30,20,30,25,3,False,168
321,297,Fighting,,144,120,60,40,60,50,3,False,333
322,298,Normal,Fairy,50,20,40,20,40,20,3,False,143
323,299,Rock,,30,45,135,45,90,30,3,False,348
324,300,Normal,,50,45,45,35,35,50,3,False,213
325,301,Normal,,70,65,65,55,55,70,3,False,313
326,302,Dark,Ghost,50,75,75,65,65,50,3,False,333
327,302,Dark,Ghost,50,85,125,85,115,20,3,False,433
328,303,Steel,Fairy,50,85,85,55,55,50,3,False,333
329,303,Steel,Fairy,50,105,125,55,95,50,3,False,433
330,304,Steel,Rock,50,70,100,40,40,30,3,False,283
331,305,Steel,Rock,60,90,140,50,50,40,3,False,373
332,306,Steel,Rock,70,110,180,60,60,50,3,False,463
333,306,Steel,,70,140,230,60,80,50,3,False,563
334,307,Fighting,Psychic,30,40,55,40,55,60,3,False,253
335,308,Fighting,Psychic,60,60,75,60,75,80,3,False,353
336,308,Fighting,Psychic,60,100,85,80,85,100,3,False,453
337,309,Electric,,40,45,40,65,40,65,3,False,258
338,310,Electric,,70,75,60,105,60,105,3,False,408
339,310,Electric,,70,75,80,135,80,135,3,False,508
340,311,Electric,,60,50,40,85,75,95,3,False,348
341,312,Electric,,60,40,50,75,85,95,3,False,348
342,313,Bug,,65,73,55,47,75,85,3,False,338
343,314,Bug,,65,47,55,73,75,85,3,False,338
344,315,Grass,Poison,50,60,45,100,80,65,3,False,353
345,316,Poison,,70,43,53,43,53,40,3,False,235
346,317,Poison,,100,73,83,73,83,55,3,False,370
347,318,Water,Dark,45,90,20,65,20,65,3,False,263
348,319,Water,Dark,70,120,40,95,40,95,3,False,393
349,319,Water,Dark,70,140,70,110,65,105,3,False,493
350,320,Water,,130,70,35,70,35,60,3,False,273
351,321,Water,,170,90,45,90,45,60,3,False,333
352,322,Fire,Ground,60,60,40,65,45,35,3,False,248
353,323,Fire,Ground,70,100,70,105,75,40,3,False,393
354,323,Fire,Ground,70,120,100,145,105,20,3,False,493
355,324,Fire,,70,85,140,85,70,20,3,False,403
356,325,Psychic,,60,25,35,70,80,60,3,False,273
357,326,Psychic,,80,45,65,90,110,80,3,False,393
358,327,Normal,,60,60,60,60,60,60,3,False,303
359,328,Ground,,45,100,45,45,45,10,3,False,248
360,329,Ground,Dragon,50,70,50,50,50,70,3,False,293
361,330,Ground,Dragon,80,100,80,80,80,100,3,False,443
362,331,Grass,,50,85,40,85,40,35,3,False,288
363,332,Grass,Dark,70,115,60,115,60,55,3,False,408
364,333,Normal,Flying,45,40,60,40,75,50,3,False,268
365,334,Dragon,Flying,75,70,90,70,105,80,3,False,418
366,334,Dragon,Fairy,75,110,110,110,105,80,3,False,518
367,335,Normal,,73,115,60,60,60,90,3,False,388
368,336,Poison,,73,100,60,100,60,65,3,False,388
369,337,Rock,Psychic,70,55,65,95,85,70,3,False,373
370,338,Rock,Psychic,70,95,85,55,65,70,3,False,373
371,339,Water,Ground,50,48,43,46,41,60,3,False,241
372,340,Water,Ground,110,78,73,76,71,60,3,False,361
373,341,Water,,43,80,65,50,35,35,3,False,268
374,342,Water,Dark,63,120,85,90,55,55,3,False,408
375,343,Ground,Psychic,40,40,55,40,70,55,3,False,263
376,344,Ground,Psychic,60,70,105,70,120,75,3,False,443
377,345,Rock,Grass,66,41,77,61,87,23,3,False,292
378,346,Rock,Grass,86,81,97,81,107,43,3,False,412
379,347,Rock,Bug,45,95,50,40,50,75,3,False,313
380,348,Rock,Bug,75,125,100,70,80,45,3,False,423
381,349,Water,,20,15,20,10,55,80,3,False,183
382,350,Water,,95,60,79,100,125,81,3,False,448
383,351,Normal,,70,70,70,70,70,70,3,False,353
384,352,Normal,,60,90,70,60,120,40,3,False,383
385,353,Ghost,,44,75,35,63,33,45,3,False,254
386,354,Ghost,,64,115,65,83,63,65,3,False,394
387,354,Ghost,,64,165,75,93,83,75,3,False,494
388,355,Ghost,,20,40,90,30,90,25,3,False,278
389,356,Ghost,,40,70,130,60,130,25,3,False,418
390,357,Grass,Flying,99,68,83,72,87,51,3,False,364
391,358,Psychic,,65,50,70,95,80,65,3,False,363
392,359,Dark,,65,130,60,75,60,75,3,False,403
393,359,Dark,,65,150,60,115,60,115,3,False,503
394,360,Psychic,,95,23,48,23,48,23,3,False,168
395,361,Ice,,50,50,50,50,50,50,3,False,253
396,362,Ice,,80,80,80,80,80,80,3,False,403
397,362,Ice,,80,120,80,120,80,100,3,False,503
398,363,Ice,Water,70,40,50,55,50,25,3,False,223
399,364,Ice,Water,90,60,70,75,70,45,3,False,323
400,365,Ice,Water,110,80,90,95,90,65,3,False,423
401,366,Water,,35,64,85,74,55,32,3,False,313
402,367,Water,,55,104,105,94,75,52,3,False,433
403,368,Water,,55,84,105,114,75,52,3,False,433
404,369,Water,Rock,100,90,130,45,65,55,3,False,388
405,370,Water,,43,30,55,40,65,97,3,False,290
406,371,Dragon,,45,75,60,40,30,50,3,False,258
407,372,Dragon,,65,95,100,60,50,50,3,False,358
408,373,Dragon,Flying,95,135,80,110,80,100,3,False,508
409,373,Dragon,Flying,95,145,130,120,90,120,3,False,608
410,374,Steel,Psychic,40,55,80,35,60,30,3,False,263
411,375,Steel,Psychic,60,75,100,55,80,50,3,False,363
412,376,Steel,Psychic,80,135,130,95,90,70,3,False,523
413,376,Steel,Psychic,80,145,150,105,110,110,3,False,623
414,377,Rock,,80,100,200,50,100,50,3,True,503
415,378,Ice,,80,50,100,100,200,50,3,True,503
416,379,Steel,,80,75,150,75,150,50,3,True,503
417,380,Dragon,Psychic,80,80,90,110,130,110,3,True,523
418,380,Dragon,Psychic,80,100,120,140,150,110,3,True,623
419,381,Dragon,Psychic,80,90,80,130,110,110,3,True,523
420,381,Dragon,Psychic,80,130,100,160,120,110,3,True,623
421,382,Water,,100,100,90,150,140,90,3,True,573
422,382,Water,,100,150,90,180,160,90,3,True,673
423,383,Ground,,100,150,140,100,90,90,3,True,573
424,383,Ground,Fire,100,180,160,150,90,90,3,True,673
425,384,Dragon,Flying,105,150,90,150,90,95,3,True,578
426,384,Dragon,Flying,105,180,100,180,100,115,3,True,678
427,385,Steel,Psychic,100,100,100,100,100,100,3,True,503
428,386,Psychic,,50,150,50,150,50,150,3,True,553
429,386,Psychic,,50,180,20,180,20,150,3,True,553
430,386,Psychic,,50,70,160,70,160,90,3,True,553
431,386,Psychic,,50,95,90,95,90,180,3,True,553
432,387,Grass,,55,68,64,45,55,31,4,False,267
433,388,Grass,,75,89,85,55,65,36,4,False,334
434,389,Grass,Ground,95,109,105,75,85,56,4,False,434
435,390,Fire,,44,58,44,58,44,61,4,False,269
436,391,Fire,Fighting,64,78,52,78,52,81,4,False,345
437,392,Fire,Fighting,76,104,71,104,71,108,4,False,462
438,393,Water,,53,51,53,61,56,40,4,False,265
439,394,Water,,64,66,68,81,76,50,4,False,345
440,395,Water,Steel,84,86,88,111,101,60,4,False,450
441,396,Normal,Flying,40,55,30,30,30,60,4,False,209
442,397,Normal,Flying,55,75,50,40,40,80,4,False,289
443,398,Normal,Flying,85,120,70,50,60,100,4,False,404
444,399,Normal,,59,45,40,35,40,31,4,False,195
445,400,Normal,Water,79,85,60,55,60,71,4,False,335
446,401,Bug,,37,25,41,25,41,25,4,False,161
447,402,Bug,,77,85,51,55,51,65,4,False,311
448,403,Electric,,45,65,34,40,34,45,4,False,222
449,404,Electric,,60,85,49,60,49,60,4,False,307
450,405,Electric,,80,120,79,95,79,70,4,False,447
451,406,Grass,Poison,40,30,35,50,70,55,4,False,244
452,407,Grass,Poison,60,70,65,125,105,90,4,False,459
453,408,Rock,,67,125,40,30,30,58,4,False,287
454,409,Rock,,97,165,60,65,50,58,4,False,402
455,410,Rock,Steel,30,42,118,42,88,30,4,False,324
456,411,Rock,Steel,60,52,168,47,138,30,4,False,439
457,412,Bug,,40,29,45,29,45,36,4,False,188
458,413,Bug,Grass,60,59,85,79,105,36,4,False,368
459,413,Bug,Ground,60,79,105,59,85,36,4,False,368
460,413,Bug,Steel,60,69,95,69,95,36,4,False,368
461,414,Bug,Flying,70,94,50,94,50,66,4,False,358
462,415,Bug,Flying,30,30,42,30,42,70,4,False,218
463,416,Bug,Flying,70,80,102,80,102,40,4,False,408
464,417,Electric,,60,45,70,45,90,95,4,False,349
465,418,Water,,55,65,35,60,30,85,4,False,279
466,419,Water,,85,105,55,85,50,115,4,False,414
467,420,Grass,,45,35,45,62,53,35,4,False,234
468,421,Grass,,70,60,70,87,78,85,4,False,384
469,422,Water,,76,48,48,57,62,34,4,False,253
470,423,Water,Ground,111,83,68,92,82,39,4,False,368
471,424,Normal,,75,100,66,60,66,115,4,False,411
472,425,Ghost,Flying,90,50,34,60,44,70,4,False,262
473,426,Ghost,Flying,150,80,44,90,54,80,4,False,352
474,427,Normal,,55,66,44,44,56,85,4,False,299
475,428,Normal,,65,76,84,54,96,105,4,False,419
476,428,Normal,Fighting,65,136,94,54,96,135,4,False,519
477,429,Ghost,,60,60,60,105,105,105,4,False,439
478,430,Dark,Flying,100,125,52,105,52,71,4,False,409
479,431,Normal,,49,55,42,42,37,85,4,False,265
480,432,Normal,,71,82,64,64,59,112,4,False,385
481,433,Psychic,,45,30,50,65,50,45,4,False,244
482,434,Poison,Dark,63,63,47,41,41,74,4,False,270
483,435,Poison,Dark,103,93,67,71,61,84,4,False,380
484,436,Steel,Psychic,57,24,86,24,86,23,4,False,247
